機關名稱,所屬大隊/分類,單位名稱,系統代碼
嘉義市政府消防局,局本部,局本部,
嘉義市政府消防局,救災救護指揮科,救災救護指揮科,
嘉義市政府消防局,教育訓練科,教育訓練科,
嘉義市政府消防局,火災調查科,火災調查科,
嘉義市政府消防局,災害搶救科,災害搶救科,
嘉義市政府消防局,災害搶救科,車輛保養場,
嘉義市政府消防局,災害管理科,災害管理科,
嘉義市政府消防局,災害預防科,災害預防科,
嘉義市政府消防局,第一消防大隊,德安消防分隊,
嘉義市政府消防局,第一消防大隊,湖內消防分隊,
嘉義市政府消防局,第一消防大隊,第一消防分隊,
嘉義市政府消防局,第一消防大隊,第一消防大隊,
嘉義市政府消防局,第一義消大隊,南區義消分隊,
嘉義市政府消防局,第一義消大隊,德安義消分隊,
嘉義市政府消防局,第一義消大隊,東區義消分隊,
嘉義市政府消防局,第一義消大隊,湖內義消分隊,
嘉義市政府消防局,第一義消大隊,第一義消分隊,
嘉義市政府消防局,第一義消大隊,第一義消大隊,
嘉義市政府消防局,第二消防大隊,後湖消防分隊,
嘉義市政府消防局,第二消防大隊,第二消防分隊,
嘉義市政府消防局,第二消防大隊,第二消防大隊,
嘉義市政府消防局,第二消防大隊,蘭潭消防分隊,
嘉義市政府消防局,第二義消大隊,後湖義消分隊,
嘉義市政府消防局,第二義消大隊,第二義消大隊,
嘉義市政府消防局,第二義消大隊,蘭潭義消分隊,
嘉義市政府消防局,緊急救護科,緊急救護科,
嘉義市政府消防局,義勇特搜大隊,義勇特搜分隊,
嘉義市政府消防局,義消總隊,義消總隊,
嘉義市政府消防局,行政科,行政科,
嘉義市政府消防局,防火宣導大隊,防火宣導分隊,
嘉義市政府消防局,鳳凰志工大隊,鳳凰志工南區小隊,
嘉義市政府消防局,鳳凰志工大隊,鳳凰志工大隊部,
嘉義市政府消防局,鳳凰志工大隊,鳳凰志工後湖小隊,
嘉義市政府消防局,鳳凰志工大隊,鳳凰志工德安小隊,
嘉義市政府消防局,鳳凰志工大隊,鳳凰志工文化小隊,
嘉義市政府消防局,鳳凰志工大隊,鳳凰志工東區分隊,
嘉義市政府消防局,鳳凰志工大隊,鳳凰志工東區小隊,
嘉義市政府消防局,鳳凰志工大隊,鳳凰志工湖內小隊,
嘉義市政府消防局,鳳凰志工大隊,鳳凰志工蘭潭小隊,
嘉義市政府消防局,鳳凰志工大隊,鳳凰志工西區分隊,
臺南市政府消防局,局本部,主任秘書室,
臺南市政府消防局,局本部,人事室,
臺南市政府消防局,局本部,副局長室,
臺南市政府消防局,局本部,危險物品管理科,
臺南市政府消防局,局本部,局長室,
臺南市政府消防局,局本部,政風室,
臺南市政府消防局,局本部,救災救護指揮中心,
臺南市政府消防局,局本部,會計室,
臺南市政府消防局,局本部,本機關,
臺南市政府消防局,局本部,民力運用科,
臺南市政府消防局,局本部,火災調查科,
臺南市政府消防局,局本部,火災預防科,
臺南市政府消防局,局本部,災害搶救科,
臺南市政府消防局,局本部,災害管理科,
臺南市政府消防局,局本部,督察室,
臺南市政府消防局,局本部,秘書室,
臺南市政府消防局,局本部,緊急救護科,
臺南市政府消防局,特搜大隊,大橋特搜分隊,
臺南市政府消防局,特搜大隊,特搜大隊,
臺南市政府消防局,第一救災救護大隊,後壁分隊,
臺南市政府消防局,第一救災救護大隊,新營分隊,
臺南市政府消防局,第一救災救護大隊,新營專責救護,
臺南市政府消防局,第一救災救護大隊,東原分隊,
臺南市政府消防局,第一救災救護大隊,東山分隊,
臺南市政府消防局,第一救災救護大隊,柳營分隊,
臺南市政府消防局,第一救災救護大隊,白河中隊,
臺南市政府消防局,第一救災救護大隊,白河分隊,
臺南市政府消防局,第一救災救護大隊,第一救災救護大隊,
臺南市政府消防局,第一救災救護大隊,關嶺分隊,
臺南市政府消防局,第一救災救護大隊,鹽水分隊,
臺南市政府消防局,第七救災救護大隊,中正分隊,
臺南市政府消防局,第七救災救護大隊,南門分隊,
臺南市政府消防局,第七救災救護大隊,南門小專責,
臺南市政府消防局,第七救災救護大隊,崇善分隊,
臺南市政府消防局,第七救災救護大隊,後甲分隊,
臺南市政府消防局,第七救災救護大隊,德興中隊,
臺南市政府消防局,第七救災救護大隊,德興分隊,
臺南市政府消防局,第七救災救護大隊,東門分隊,
臺南市政府消防局,第七救災救護大隊,東門專責救護,
臺南市政府消防局,第七救災救護大隊,灣裡分隊,
臺南市政府消防局,第七救災救護大隊,第七救災救護大隊,
臺南市政府消防局,第三救災救護大隊,七股分隊,
臺南市政府消防局,第三救災救護大隊,佳里分隊,
臺南市政府消防局,第三救災救護大隊,北門分隊,
臺南市政府消防局,第三救災救護大隊,學甲中隊,
臺南市政府消防局,第三救災救護大隊,學甲分隊,
臺南市政府消防局,第三救災救護大隊,將軍分隊,
臺南市政府消防局,第三救災救護大隊,第三救災救護大隊,
臺南市政府消防局,第三救災救護大隊,西港分隊,
臺南市政府消防局,第二救災救護大隊,下營分隊,
臺南市政府消防局,第二救災救護大隊,六甲分隊,
臺南市政府消防局,第二救災救護大隊,南化分隊,
臺南市政府消防局,第二救災救護大隊,官田分隊,
臺南市政府消防局,第二救災救護大隊,楠西分隊,
臺南市政府消防局,第二救災救護大隊,玉井中隊,
臺南市政府消防局,第二救災救護大隊,玉井分隊,
臺南市政府消防局,第二救災救護大隊,第二救災救護大隊,
臺南市政府消防局,第二救災救護大隊,麻豆分隊,
臺南市政府消防局,第五救災救護大隊,仁德分隊,
臺南市政府消防局,第五救災救護大隊,保西分隊,
臺南市政府消防局,第五救災救護大隊,大橋專責救護,
臺南市政府消防局,第五救災救護大隊,大灣分隊,
臺南市政府消防局,第五救災救護大隊,復興分隊,
臺南市政府消防局,第五救災救護大隊,文賢分隊,
臺南市政府消防局,第五救災救護大隊,歸仁中隊,
臺南市政府消防局,第五救災救護大隊,歸仁分隊,
臺南市政府消防局,第五救災救護大隊,歸仁小專責,
臺南市政府消防局,第五救災救護大隊,永康分隊,
臺南市政府消防局,第五救災救護大隊,第五救災救護大隊,
臺南市政府消防局,第五救災救護大隊,關廟分隊,
臺南市政府消防局,第五救災救護大隊,鹽行分隊,
臺南市政府消防局,第六救災救護大隊,公園分隊,
臺南市政府消防局,第六救災救護大隊,和緯分隊,
臺南市政府消防局,第六救災救護大隊,和緯專責救護,
臺南市政府消防局,第六救災救護大隊,土城分隊,
臺南市政府消防局,第六救災救護大隊,安南中隊,
臺南市政府消防局,第六救災救護大隊,安南分隊,
臺南市政府消防局,第六救災救護大隊,安南小專責,
臺南市政府消防局,第六救災救護大隊,安和分隊,
臺南市政府消防局,第六救災救護大隊,安平分隊,
臺南市政府消防局,第六救災救護大隊,永華分隊,
臺南市政府消防局,第六救災救護大隊,永華小專責,
臺南市政府消防局,第六救災救護大隊,第六救災救護大隊,
臺南市政府消防局,第四救災救護大隊,南科分隊,
臺南市政府消防局,第四救災救護大隊,善化分隊,
臺南市政府消防局,第四救災救護大隊,大內分隊,
臺南市政府消防局,第四救災救護大隊,安定分隊,
臺南市政府消防局,第四救災救護大隊,山上分隊,
臺南市政府消防局,第四救災救護大隊,左鎮分隊,
臺南市政府消防局,第四救災救護大隊,新化中隊,
臺南市政府消防局,第四救災救護大隊,新化分隊,
臺南市政府消防局,第四救災救護大隊,新市分隊,
臺南市政府消防局,第四救災救護大隊,第四救災救護大隊,
高雄市政府消防局,局本部,危險物品管理科,
高雄市政府消防局,局本部,安全衛生督察室,
高雄市政府消防局,局本部,局本部,
高雄市政府消防局,局本部,救災救護指揮中心,
高雄市政府消防局,局本部,教育訓練中心,
高雄市政府消防局,局本部,民力運用科,
高雄市政府消防局,局本部,火災調查科,
高雄市政府消防局,局本部,火災預防科,
高雄市政府消防局,局本部,災害搶救科,
高雄市政府消防局,局本部,災害管理科,
高雄市政府消防局,局本部,緊急救護科,
高雄市政府消防局,特搜大隊,大隊本部,
高雄市政府消防局,特搜大隊,特搜第一分隊,
高雄市政府消防局,特搜大隊,特搜第二分隊,
高雄市政府消防局,第一救災救護大隊,前金分隊,
高雄市政府消防局,第一救災救護大隊,前鎮分隊,
高雄市政府消防局,第一救災救護大隊,大隊本部,
高雄市政府消防局,第一救災救護大隊,專責檢查小組,
高雄市政府消防局,第一救災救護大隊,成功分隊,
高雄市政府消防局,第一救災救護大隊,新興分隊,
高雄市政府消防局,第一救災救護大隊,旗津分隊,
高雄市政府消防局,第一救災救護大隊,瑞隆分隊,
高雄市政府消防局,第一救災救護大隊,第一中隊,
高雄市政府消防局,第一救災救護大隊,第二中隊,
高雄市政府消防局,第一救災救護大隊,苓雅分隊,
高雄市政府消防局,第三救災救護大隊,中庄分隊,
高雄市政府消防局,第三救災救護大隊,五甲分隊,
高雄市政府消防局,第三救災救護大隊,和發分隊,
高雄市政府消防局,第三救災救護大隊,大寮分隊,
高雄市政府消防局,第三救災救護大隊,大林分隊,
高雄市政府消防局,第三救災救護大隊,大隊本部,
高雄市政府消防局,第三救災救護大隊,專責檢查小組,
高雄市政府消防局,第三救災救護大隊,小港分隊,
高雄市政府消防局,第三救災救護大隊,林園分隊,
高雄市政府消防局,第三救災救護大隊,第一中隊,
高雄市政府消防局,第三救災救護大隊,第三中隊,
高雄市政府消防局,第三救災救護大隊,第二中隊,
高雄市政府消防局,第三救災救護大隊,高桂分隊,
高雄市政府消防局,第三救災救護大隊,鳳山分隊,
高雄市政府消防局,第三救災救護大隊,鳳祥分隊,
高雄市政府消防局,第二救災救護大隊,中華分隊,
高雄市政府消防局,第二救災救護大隊,十全分隊,
高雄市政府消防局,第二救災救護大隊,大昌分隊,
高雄市政府消防局,第二救災救護大隊,大隊本部,
高雄市政府消防局,第二救災救護大隊,專責檢查小組,
高雄市政府消防局,第二救災救護大隊,左營分隊,
高雄市政府消防局,第二救災救護大隊,新莊分隊,
高雄市政府消防局,第二救災救護大隊,第一中隊,
高雄市政府消防局,第二救災救護大隊,第二中隊,
高雄市政府消防局,第二救災救護大隊,鼎金分隊,
高雄市政府消防局,第二救災救護大隊,鼓山分隊,
高雄市政府消防局,第五救災救護大隊,大隊本部,
高雄市政府消防局,第五救災救護大隊,專責檢查小組,
高雄市政府消防局,第五救災救護大隊,岡山分隊,
高雄市政府消防局,第五救災救護大隊,彌陀分隊,
高雄市政府消防局,第五救災救護大隊,永安分隊,
高雄市政府消防局,第五救災救護大隊,湖內分隊,
高雄市政府消防局,第五救災救護大隊,田寮分隊,
高雄市政府消防局,第五救災救護大隊,第一中隊,
高雄市政府消防局,第五救災救護大隊,第二中隊,
高雄市政府消防局,第五救災救護大隊,茄萣分隊,
高雄市政府消防局,第五救災救護大隊,路竹分隊,
高雄市政府消防局,第五救災救護大隊,阿蓮分隊,
高雄市政府消防局,第六救災救護大隊,內門分隊,
高雄市政府消防局,第六救災救護大隊,六龜分隊,
高雄市政府消防局,第六救災救護大隊,大隊本部,
高雄市政府消防局,第六救災救護大隊,寶來分隊,
高雄市政府消防局,第六救災救護大隊,專責檢查小組,
高雄市政府消防局,第六救災救護大隊,旗山分隊,
高雄市政府消防局,第六救災救護大隊,杉林分隊,
高雄市政府消防局,第六救災救護大隊,桃源分隊,
高雄市政府消防局,第六救災救護大隊,甲仙分隊,
高雄市政府消防局,第六救災救護大隊,第一中隊,
高雄市政府消防局,第六救災救護大隊,第三中隊,
高雄市政府消防局,第六救災救護大隊,第二中隊,
高雄市政府消防局,第六救災救護大隊,美濃分隊,
高雄市政府消防局,第六救災救護大隊,茂林分隊,
高雄市政府消防局,第六救災救護大隊,那瑪夏分隊,
高雄市政府消防局,第四救災救護大隊,仁武分隊,
高雄市政府消防局,第四救災救護大隊,右昌分隊,
高雄市政府消防局,第四救災救護大隊,大樹分隊,
高雄市政府消防局,第四救災救護大隊,大社分隊,
高雄市政府消防局,第四救災救護大隊,大隊本部,
高雄市政府消防局,第四救災救護大隊,專責檢查小組,
高雄市政府消防局,第四救災救護大隊,後勁分隊,
高雄市政府消防局,第四救災救護大隊,梓官分隊,
高雄市政府消防局,第四救災救護大隊,楠梓分隊,
高雄市政府消防局,第四救災救護大隊,橋頭分隊,
高雄市政府消防局,第四救災救護大隊,燕巢分隊,
高雄市政府消防局,第四救災救護大隊,第一中隊,
高雄市政府消防局,第四救災救護大隊,第三中隊,
高雄市政府消防局,第四救災救護大隊,第二中隊,
高雄市政府消防局,第四救災救護大隊,鳥松分隊,
